Date,Coal.Australia,Coal.SA,Fuel.Index,Coal.Producer.Index,IronOre,CrudeOil.Index,Metal.Index,NonFuel.Index,Commodity.Index,CCI,Year,Month,Seasonally Adjusted,Trend/Seasonal Adjusted
1992-01-01,39.5,31.0,23.71,93.6,33.1,40.23,35.59,48.4,50.72,99.3652,1992,1,29.5338079622281,
1992-02-01,39.5,31.0,23.83,93.8,33.1,41.09,37.12,48.71,50.72,99.46713,1992,2,30.833867486037626,
1992-03-01,39.5,31.0,23.79,93.6,33.1,41.17,37.41,48.74,50.75,99.6266,1992,3,32.05331193048207,
1992-04-01,39.5,31.0,25.24,94.1,33.1,44.09,38.0,48.45,51.17,99.72688,1992,4,31.952833535420343,
1992-05-01,39.5,31.0,26.33,94.7,33.1,45.57,37.99,48.57,52.64,99.75301,1992,5,31.989037239124045,
1992-06-01,39.5,29.0,27.73,94.4,33.1,47.92,39.13499999999998,48.74,52.85,99.6883,1992,6,28.713311930482067,
1992-07-01,39.5,27.0,27.29,94.2,33.1,45.31,39.76,48.96,52.52,99.54182,1992,7,25.808822843180483,-2.8578438234861814
1992-08-01,39.5,27.0,27.0,94.2,33.1,43.65,39.66,48.74,52.58,99.37699,1992,8,26.585608557466198,-1.7477247758671304
1992-09-01,39.5,27.0,28.05,93.6,33.1,44.89,38.52,48.08,53.01,99.24114,1992,9,27.379834747942386,-0.620165252057614
1992-10-01,39.09375,27.0,28.02,93.9,33.1,45.26,35.75,46.58,52.5,99.20911,1992,10,27.44065320032334,-0.22601346634332486
1992-11-01,32.6425,27.0,26.4,93.7,33.1,44.15,34.52,46.53,50.37,99.34055,1992,11,27.127319866990007,-0.2060134663433253
1992-12-01,32.6425,27.0,25.28,94.1,33.1,41.83,35.44,46.85,50.41,99.48464,1992,12,26.58159070032334,-0.501742633009993
1993-01-01,32.6425,27.0,24.21,93.0,29.09,40.55,35.25,47.29,49.83,99.5479,1993,1,25.5338079622281,-1.4661920377719007
1993-02-01,31.0,27.0,24.77,93.4,29.09,43.04,32.6425,47.47,50.35,99.53298,1993,2,26.833867486037626,-0.16613251396237416
1993-03-01,31.0,27.0,25.74,93.2,29.09,43.42,33.88,47.52,51.75,99.49699,1993,3,28.05331193048207,1.0533119304820708
1993-04-01,31.0,27.0,25.89,92.9,29.09,42.29,32.34,47.8,52.01,99.44501,1993,4,27.952833535420343,0.9528335354203428
1993-05-01,31.0,27.0,25.37,92.7,29.09,41.56,31.6,48.66,52.12,99.32729,1993,5,27.989037239124045,0.9890372391240447
1993-06-01,31.0,27.0,24.35,93.1,29.09,39.91,32.17,48.13,50.7,99.18772,1993,6,26.713311930482067,-0.2658547361846004
1993-07-01,31.0,27.0,23.23,92.9,29.09,38.14,32.8,49.72,50.61,99.07281,1993,7,25.808822843180483,-1.1495104901528492
1993-08-01,31.0,27.0,23.66,93.1,29.09,37.97,32.32,49.4,50.43,99.03703,1993,8,26.585608557466198,-0.37272477586713393
1993-09-01,31.0,27.0,23.04,93.2,29.09,36.11,30.98,48.92,49.47,99.07306,1993,9,27.379834747942386,0.4215014146090539
1993-10-01,31.0,27.0,23.36,94.4,29.09,37.83,29.68,48.61,49.52,99.17727,1993,10,27.44065320032334,0.4823198669900073
1993-11-01,31.0,27.0,22.27,94.1,29.09,35.18,29.12,49.17,48.81,99.35304,1993,11,27.127319866990007,0.1689865336566747
1993-12-01,31.0,28.0,27.664999999999996,94.0,29.09,31.29,30.6,50.39,50.60749999999999,99.64664,1993,12,26.08159070032334,-0.939242633009993
1994-01-01,31.0,27.0,21.13,93.8,26.47,33.44,31.91,50.86,49.87,99.94802,1994,1,25.5338079622281,-1.6120253711052328
1994-02-01,31.0,27.0,21.19,92.5,26.47,32.12,33.48,51.46,50.69,100.1311,1994,2,26.833867486037626,-0.4369658472957063
1994-03-01,29.5,27.0,20.29,92.6,26.47,31.64,33.78,51.48,50.3,100.2321,1994,3,28.05331193048207,0.6366452638154065
1994-04-01,29.5,27.0,21.63,93.0,26.47,34.97,33.38,51.51,50.99,100.335,1994,4,27.952833535420343,0.29658353542034277
1994-05-01,32.6425,27.0,22.84,93.2,26.47,37.64,35.64,53.43,52.4,100.4502,1994,5,27.989037239124045,0.03070390579070903
1994-06-01,33.6,28.5,23.87,92.0,26.47,39.14,37.83,54.78,53.31,100.5572,1994,6,28.213311930482067,-0.12002140285126828
1994-07-01,33.1,28.5,24.72,92.1,26.47,40.14,39.43,56.9,54.59,100.6496,1994,7,27.308822843180483,-1.5453438234861814
1994-08-01,33.1,28.5,23.41,92.7,26.47,37.84,38.52,56.82,53.54,100.7597,1994,8,28.085608557466198,-1.3727247758671375
1994-09-01,33.1,29.0,22.35,94.3,26.47,35.72,40.75,58.51,53.6,100.8504,1994,9,29.379834747942386,-0.713915252057614
1994-10-01,33.1,29.224999999999994,22.7,93.8875,26.47,36.16,42.85,57.83,54.17,100.9067,1994,10,31.19065320032334,0.44065320032333943
1994-11-01,33.1,30.5,23.46,94.9,26.47,37.91,47.11,59.24,54.27,100.9206,1994,11,30.627319866990007,-0.7893467996766574
1994-12-01,36.1,32.0,22.56,92.0,26.47,36.03,48.11,59.91,55.3,100.9206,1994,12,31.58159070032334,-0.4346592996766603
1995-01-01,37.1,29.818749999999994,23.41,90.0875,28.38,37.31,51.23,61.05,55.97,99.8611875,1995,1,32.533807962228096,-0.06744203777189739
1995-02-01,37.6,34.5,24.08,91.3,28.38,38.27,48.01,60.64,56.35,100.7601,1995,2,34.333867486037626,1.113867486037627
1995-03-01,38.35,34.75,23.99,93.7,28.38,36.64,46.51,60.17,56.95,100.6039,1995,3,35.80331193048207,1.994561930482071
1995-04-01,37.1,32.6425,25.46,92.6,28.38,38.6,47.03,59.93,57.48,100.5203,1995,4,35.95283353542034,1.647000202087007
1995-05-01,38.77,32.6425,25.33,90.4,28.38,38.35,45.19,59.23,56.73,100.5045,1995,5,35.989037239124045,1.2427872391240413
1995-06-01,40.77,34.89,24.27,90.7,28.38,35.95,46.81,59.71,56.07,100.578,1995,6,34.60331193048207,-0.5004380695179336
1995-07-01,41.05,36.15,22.71,92.5,28.38,33.43,48.51,60.99,55.56,100.6453,1995,7,34.95882284318048,-0.30159382348619346
1995-08-01,40.88,37.321250000000006,23.27,91.8,28.38,35.39,48.8,60.47,55.75,100.6356,1995,8,35.2856085574662,0.00435855746619751
1995-09-01,40.93,35.93,23.74,91.7,28.38,36.63,46.27,59.5,55.76,100.528,1995,9,36.30983474794239,1.1152514146090553
1995-10-01,40.97,35.75,23.15,93.0,28.38,35.01,44.58,59.78,55.64,100.4435,1995,10,36.19065320032334,1.1277365336566731
1995-11-01,39.59,36.07,24.1,91.4,28.38,36.47,45.5,60.42,56.5,100.3925,1995,11,36.19731986699001,1.2614865336566723
