Date,Coal.Australia,Coal.SA,CrudeOil,Fuel.Index,NaturalGas,Coal.Producer.Index,Gold,Silver,Copper,IronOre,CrudeOil.Index,Metal.Index,NonFuel.Index,Commodity.Index,CLI,CCI,BCI
1/1/1992,39.5,31,17.38,23.71,1.28,93.6,354.45,4.11,2139.23,33.1,40.23,35.59,48.4,50.72,99.20515,99.3652,99.32731
2/1/1992,39.5,31,17.62,23.83,1.21,93.8,353.91,4.15,2205.97,33.1,41.09,37.12,48.71,50.72,99.22767,99.46713,99.51028
3/1/1992,39.5,31,17.45,23.79,1.28,93.6,344.34,4.11,2227.33,33.1,41.17,37.41,48.74,50.75,99.25694,99.6266,99.67402
4/1/1992,39.5,31,18.63,25.24,1.47,94.1,338.62,4.05,2215.33,33.1,44.09,38,48.45,51.17,99.26983,99.72688,99.74699
5/1/1992,39.5,31,19.5,26.33,1.59,94.7,337.24,4.07,2216.52,33.1,45.57,37.99,48.57,52.64,99.23967,99.75301,99.7746
6/1/1992,39.5,29,20.83,27.73,1.56,94.4,340.81,4.06,2299.2,33.1,47.92,38.08,48.74,52.85,99.15639,99.6883,99.6772
7/1/1992,39.5,27,20.17,27.29,1.75,94.2,352.72,3.97,2520.32,33.1,45.31,39.76,48.96,52.52,99.03101,99.54182,99.51376
8/1/1992,39.5,27,19.62,27,1.97,94.2,343.06,3.81,2521.64,33.1,43.65,39.66,48.74,52.58,98.88904,99.37699,99.30238
9/1/1992,39.5,27,20.15,28.05,2.33,93.6,345.43,3.77,2414.06,33.1,44.89,38.52,48.08,53.01,98.76494,99.24114,99.07809
10/1/1992,37.25,27,20.08,28.02,2.42,93.9,344.38,3.75,2249.15,33.1,45.26,35.75,46.58,52.5,98.67582,99.20911,98.94502
11/1/1992,35,27,18.88,26.4,2.24,93.7,335.02,3.77,2158.32,33.1,44.15,34.52,46.53,50.37,98.62834,99.34055,98.91339
12/1/1992,35,27,17.93,25.28,2.16,94.1,334.82,3.73,2206.82,33.1,41.83,35.44,46.85,50.41,98.61356,99.48464,98.91892
1/1/1993,35,27,17.22,24.21,1.88,93,329.01,3.68,2256.85,29.09,40.55,35.25,47.29,49.83,98.60944,99.5479,98.93158
2/1/1993,31,27,18.17,24.77,1.69,93.4,329.31,3.66,2212.6,29.09,43.04,35,47.47,50.35,98.60686,99.53298,98.90271
3/1/1993,31,27,18.47,25.74,2.18,93.2,330.08,3.65,2152.59,29.09,43.42,33.88,47.52,51.75,98.60126,99.49699,98.82568
4/1/1993,31,27,18.43,25.89,2.35,92.9,342.15,3.95,1949.88,29.09,42.29,32.34,47.8,52.01,98.60117,99.44501,98.73563
5/1/1993,31,27,18.17,25.37,2.17,92.7,367.18,4.46,1794.5,29.09,41.56,31.6,48.66,52.12,98.61313,99.32729,98.6899
6/1/1993,31,27,17.47,24.35,1.97,93.1,371.89,4.38,1853.42,29.09,39.91,32.17,48.13,50.7,98.64982,99.18772,98.64724
7/1/1993,31,27,16.32,23.23,2.06,92.9,392.19,5.02,1927.16,29.09,38.14,32.8,49.72,50.61,98.73051,99.07281,98.6546
8/1/1993,31,27,16.48,23.66,2.26,93.1,378.84,4.84,1947.45,29.09,37.97,32.32,49.4,50.43,98.85896,99.03703,98.73613
9/1/1993,31,27,15.9,23.04,2.27,93.2,355.28,4.22,1861.86,29.09,36.11,30.98,48.92,49.47,99.02811,99.07306,98.89093
10/1/1993,31,27,16.52,23.36,2.02,94.4,364.18,4.34,1646.4,29.09,37.83,29.68,48.61,49.52,99.2308,99.17727,99.08836
11/1/1993,31,27,15.2,22.27,2.26,94.1,373.83,4.53,1630.02,29.09,35.18,29.12,49.17,48.81,99.45174,99.35304,99.25938
12/1/1993,31,26.5,13.77,,2.34,94,383.3,4.97,1724.19,29.09,31.29,30.6,50.39,49.08,99.68195,99.64664,99.38007
1/1/1994,31,27,14.13,21.13,2.34,93.8,386.88,5.15,1805.35,26.47,33.44,31.91,50.86,49.87,99.90467,99.94802,99.47547
2/1/1994,31,27,13.78,21.19,2.71,92.5,381.91,5.25,1866.4,26.47,32.12,33.48,51.46,50.69,100.0978,100.1311,99.57114
3/1/1994,29.5,27,13.62,20.29,2.21,92.6,384.13,5.44,1914.87,26.47,31.64,33.78,51.48,50.3,100.2636,100.2321,99.6971
4/1/1994,29.5,27,15.08,21.63,2.04,93,377.27,5.35,1881.82,26.47,34.97,33.38,51.51,50.99,100.4088,100.335,99.85211
5/1/1994,31.4,27,16.28,22.84,1.92,93.2,381.43,5.42,2150.6,26.47,37.64,35.64,53.43,52.4,100.5464,100.4502,100.0307
6/1/1994,33.6,28.5,17.17,23.87,1.9,92,385.64,5.39,2364.2,26.47,39.14,37.83,54.78,53.31,100.687,100.5572,100.2287
7/1/1994,33.1,28.5,17.88,24.72,1.96,92.1,385.49,5.28,2458.19,26.47,40.14,39.43,56.9,54.59,100.8212,100.6496,100.4305
8/1/1994,33.1,28.5,17,23.41,1.66,92.7,380.36,5.2,2406.23,26.47,37.84,38.52,56.82,53.54,100.9337,100.7597,100.6219
9/1/1994,33.1,29,16.2,22.35,1.49,94.3,391.58,5.52,2505.93,26.47,35.72,40.75,58.51,53.6,100.99,100.8504,100.7765
10/1/1994,33.1,30.75,16.47,22.7,1.51,95,389.77,5.45,2547.67,26.47,36.16,42.85,57.83,54.17,100.9686,100.9067,100.8733
11/1/1994,33.1,30.5,17.08,23.46,1.58,94.9,384.39,5.19,2802.45,26.47,37.91,47.11,59.24,54.27,100.8579,100.9206,100.9078
12/1/1994,36.1,32,15.94,22.56,1.72,92,379.29,4.78,2985.3,26.47,36.03,48.11,59.91,55.3,100.6563,100.9206,100.8911
1/1/1995,37.1,34,16.9,23.41,1.51,88.4,378.55,4.77,3008.93,28.38,37.31,51.23,61.05,55.97,100.3866,100.8881,100.8508
2/1/1995,37.6,34.5,17.42,24.08,1.58,91.3,376.64,4.72,2877.65,28.38,38.27,48.01,60.64,56.35,100.1021,100.7601,100.7245
3/1/1995,38.35,34.75,17.35,23.99,1.54,93.7,382.12,4.65,2924.04,28.38,36.64,46.51,60.17,56.95,99.8407,100.6039,100.5116
4/1/1995,37.1,35,18.65,25.46,1.62,92.6,,5.48,2903.5,28.38,38.6,47.03,59.93,57.48,99.64336,100.5203,100.2633
5/1/1995,38.77,35,18.42,25.33,1.64,90.4,385.22,5.56,2773.31,28.38,38.35,45.19,59.23,56.73,99.5333,100.5045,100.0119
6/1/1995,40.77,34.89,17.36,24.27,1.62,90.7,387.56,5.36,2994.64,28.38,35.95,46.81,59.71,56.07,99.49946,100.578,99.87553
7/1/1995,41.05,36.15,16.08,22.71,1.44,92.5,386.23,5.16,3075.67,28.38,33.43,48.51,60.99,55.56,99.51804,100.6453,99.85631
8/1/1995,40.88,35.7,16.47,23.27,1.56,91.8,383.67,5.4,3036.84,28.38,35.39,48.8,60.47,55.75,99.5484,100.6356,99.78252
9/1/1995,40.93,35.93,16.82,23.74,1.64,91.7,383.06,5.43,2915.52,28.38,36.63,46.27,59.5,55.76,99.55607,100.528,99.68525
10/1/1995,40.97,35.75,16.12,23.15,1.77,93,383.14,5.37,2813.55,28.38,35.01,44.58,59.78,55.64,99.54227,100.4435,99.54663
11/1/1995,39.59,36.07,16.74,24.1,2.04,91.4,385.31,5.32,2977.36,28.38,36.47,45.5,60.42,56.5,99.51635,100.3925,99.39935
12/1/1995,39.35,35.01,17.87,26.16,2.71,91.3,387.44,5.18,2926.26,28.38,39.14,45.1,59.89,59.2,99.48759,100.3845,99.28677
1/1/1996,39.37,34.75,17.8,26.39,2.93,89.9,399.45,5.46,2616.41,30,39.28,42.8,59.19,58.71,99.46734,100.3847,99.21399
2/1/1996,39.28,34.25,17.7,28.21,4.4,91.9,404.76,5.66,2537.71,30,39.08,42.63,59.99,60.53,99.47058,100.4012,99.18533
3/1/1996,39.01,32.92,19.4,28.07,2.95,92.2,396.21,5.52,2561.02,30,43.12,43.03,60.09,60.49,99.5009,100.4413,99.20331
4/1/1996,39.33,33.67,20.66,28.72,2.23,91.1,392.85,5.42,2595.78,30,46.37,42.9,61.74,61.41,99.55082,100.4163,99.26534
5/1/1996,38.2,33.28,19.06,26.83,2.24,93.1,391.93,5.37,2658.26,30,42.87,43.23,62.53,60.7,99.60712,100.3682,99.35122
6/1/1996,38.2,32.4,18.51,26.57,2.49,91.7,385.27,5.16,2173.4,30,41.7,39.22,60.21,59.06,99.65865,100.3793,99.48109
7/1/1996,38.4,32.1,19.59,27.7,2.48,90.5,383.47,5.07,1985.57,30,43.72,37.76,59.08,59.73,99.70497,100.4236,99.5535
8/1/1996,38.35,32.03,20.44,28.03,2.03,92.6,387.35,5.14,2008.57,30,44.89,37.91,58.73,59.51,99.75227,100.4719,99.62886
9/1/1996,38.1,33.38,22.26,29.71,1.84,90.9,383.14,5.04,1941.45,30,49.56,36.94,57.26,58.99,99.80524,100.5072,99.68435
10/1/1996,37.6,34.25,23.61,31.91,2.37,90.5,381.07,4.93,1961.17,30,52.76,36.01,55.58,59.77,99.85934,100.5411,99.75583
11/1/1996,35.7,34.14,22.39,31.41,3.03,91.3,377.85,4.83,2230.86,30,49.66,38.81,56.36,60.48,99.91035,100.5522,99.86983
12/1/1996,35.35,35.04,23.62,33.75,3.82,90.7,369,4.83,2268.08,30,52.99,39.43,56.24,63.22,99.96859,100.5339,100.0064
1/1/1997,35.23,34.57,23.23,32.62,3.31,92.9,355.11,4.77,2434.93,30.15,53.34,41.51,58.16,62.32,100.037,100.5587,100.1224
2/1/1997,34.6,33.8,20.42,28.17,2.22,91.3,346.58,5.07,2405.85,30.15,48.07,41.81,59.19,59.4,100.1226,100.6366,100.2157
3/1/1997,34.5,33.4,19.33,26.54,1.89,92.8,351.81,5.2,2421.29,30.15,45.69,42.75,60.68,58.59,100.2197,100.7332,100.3128
4/1/1997,35.4,32.99,17.88,25.17,2.03,95,344.47,4.77,2391.18,30.15,42.52,41.43,59.89,56.75,100.3235,100.8399,100.4082
5/1/1997,35.73,32.53,19.37,27.03,2.24,91.7,343.84,4.75,2514.33,30.15,45.59,43.02,60.47,58.14,100.4255,100.9575,100.5398
6/1/1997,34.5,32.28,17.92,25.38,2.2,92.6,340.76,4.76,2612.62,30.15,42.04,42.72,58.9,55.79,100.5226,101.0726,100.6602
7/1/1997,35,31.27,18.33,25.78,2.19,91.5,324.1,4.37,2450.46,30.15,43.43,42.42,57.12,55.24,100.6031,101.1558,100.7713
8/1/1997,36.93,31.03,18.7,26.61,2.47,91.6,324.01,4.5,2251.2,30.15,45.01,43.06,56.71,55.49,100.6516,101.1712,100.7936
9/1/1997,37.15,29.88,18.66,27.08,2.84,91.9,322.82,4.73,2107.3,30.15,44.67,41.01,55.65,55.53,100.6664,101.1704,100.767
10/1/1997,37.15,29,20.04,28.78,3.04,91.3,324.87,5.03,2052.26,30.15,47.63,39.95,54.56,56.23,100.6353,101.1547,100.7322
11/1/1997,33.6,27.69,19.09,27.58,3.02,91,306.04,5.08,1917.45,30.15,45.23,38.84,54.27,55.11,100.5637,101.1458,100.6586
12/1/1997,31.4,27.75,17.09,24.43,2.33,93.2,288.74,5.84,1762.33,30.15,41.28,36.96,53.17,53.85,100.4686,101.1401,100.5758
1/1/1998,31.4,27.5,15,21.89,2.1,88.2,289.1,5.89,1688.45,31,36.33,35.94,51.89,50.93,100.3686,101.211,100.4885
2/1/1998,33.44,26.76,14.1,21.16,2.22,90.2,297.49,6.81,1664.8,31,34.03,35.42,52.48,50.35,100.2698,101.2931,100.406
3/1/1998,31.88,26.74,13.12,20.05,2.23,89.7,295.94,6.24,1747.98,31,31.9,35.58,51.64,49.65,100.1653,101.3103,100.3169
4/1/1998,31.18,27.35,13.5,20.61,2.42,90.7,308.29,6.34,1800.9,31,32.29,35.73,51.91,50.7,100.0471,101.2926,100.1776
5/1/1998,30.28,27.63,14.03,20.74,2.14,90.2,299.1,5.58,1732.53,31,33.69,34.51,50.52,50.51,99.91241,101.2311,100.0168
6/1/1998,30,27.33,12.48,19.1,2.17,90.2,292.32,5.26,1660.52,31,30.36,33.14,48.58,48.34,99.7568,101.1555,99.87013
7/1/1998,30,26.55,12.7,19.27,2.17,89.9,292.87,5.46,1651.04,31,31,33.1,48.07,47.4,99.58765,101.0957,99.74066
8/1/1998,26.2,26.3,12.49,18.43,1.85,87.6,284.11,5.18,1620.93,31,30.54,32.85,47.12,45.96,99.41901,101.0236,99.58636
9/1/1998,27.09,26.43,13.8,20.07,2.01,87.3,288.98,5,1647.64,,32.8,33.29,47.42,46.76,99.28315,100.9637,99.40147
10/1/1998,27.1,26.08,13.26,19.25,1.89,88.8,295.93,5.01,1586.39,31,30.6,32.28,47.33,46.44,99.21661,100.9768,99.24586
11/1/1998,26.1,26.7,11.88,17.99,2.1,89.6,294.12,4.97,1573.95,31,27.71,32.26,47.86,45.83,99.24454,101.0953,99.17115
12/1/1998,26.1,26.7,10.41,15.93,1.74,91.4,291.68,4.88,1473.57,31,24.09,31.06,46.82,43.59,99.3541,101.2245,99.18813
1/1/1999,26.1,26.5,11.44,17.14,1.86,85.5,287.08,5.14,1431.18,27.59,26.14,30.1,46.44,44.43,99.52286,101.3879,99.27903
2/1/1999,26.1,26.38,10.75,16.28,1.77,89.2,287.33,5.53,1410.78,27.59,25.24,29.93,44.77,42.67,99.71601,101.4997,99.37156
3/1/1999,26.1,25.05,13.17,18.86,1.79,89.3,285.96,5.19,1378.35,27.59,30.59,29.87,43.89,43.64,99.90958,101.4998,99.43413
4/1/1999,26.1,25.05,15.87,22.18,2.15,89.9,282.62,5.06,1466,27.59,37.66,31.53,43.86,46.34,100.0991,101.4697,99.51131
5/1/1999,26.1,25.05,16.06,22.54,2.25,87.8,276.44,5.26,1511.16,27.59,38.77,32.51,44.18,47.2,100.2868,101.4675,99.63195
6/1/1999,26.1,25.25,16.39,22.97,2.3,88.2,261.31,5.03,1422.48,27.59,39.31,31.73,43.64,46.68,100.4678,101.4803,99.76312
7/1/1999,26.1,23.78,18.99,25.81,2.31,86.9,256.08,5.18,1640,27.59,45.41,34.25,43.34,48.2,100.639,101.4849,99.87332
8/1/1999,26.1,23.14,20.27,27.86,2.79,86.9,256.69,5.26,1647.62,27.59,48.05,35.02,44.34,50.45,100.7994,101.4975,100.0307
9/1/1999,26.1,22.5,22.7,30.21,2.54,85.9,264.74,5.21,1750.34,27.59,52.73,36.64,45.31,52.45,100.9538,101.5425,100.213
